Unit;ADR13;ADR15;ADR16;Ocurrences;Class DeF
org.apache.flink.api.common.operators.CollectionExecutor$IterationRuntimeUDFContext;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.CompilerHints;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.DualInputOperator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.DualInputSemanticProperties;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.GenericDataSinkBase;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.GenericDataSourceBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Keys;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Keys$ExpressionKeys;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Keys$IncompatibleKeysException;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Keys$SelectorFunctionKeys;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Operator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.Ordering;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.ResourceSpec;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.ResourceSpec$Builder;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.SemanticProperties$EmptySemanticProperties;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.SemanticProperties$InvalidSemanticAnnotationException;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.SingleInputOperator;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.SingleInputSemanticProperties;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.SingleInputSemanticProperties$AllFieldsForwardedProperties;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.Union;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.BulkIterationBase;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.base.BulkIterationBase$PartialSolutionPlaceHolder;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.BulkIterationBase$TerminationCriterionAggregationConvergence;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.BulkIterationBase$TerminationCriterionAggregator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.BulkIterationBase$TerminationCriterionMapper;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.CoGroupOperatorBase;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.base.CoGroupOperatorBase$CoGroupSortListIterator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.CoGroupRawOperatorBase;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.base.CoGroupRawOperatorBase$SimpleListIterable;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.CoGroupRawOperatorBase$SimpleListIterable$SimpleListIterator;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.CrossOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.DeltaIterationBase;1.0;1.0;0.0;2.0;0.6666666666666666
org.apache.flink.api.common.operators.base.DeltaIterationBase$SolutionSetPlaceHolder;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.DeltaIterationBase$WorksetPlaceHolder;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.FilterOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.FlatMapOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.GroupCombineOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.GroupReduceOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.InnerJoinOperatorBase;1.0;1.0;1.0;3.0;1.0
org.apache.flink.api.common.operators.base.JoinOperatorBase;1.0;1.0;1.0;3.0;1.0
